wl_22c,k_22c,wl_minus8c,k_minus8c,wl_minus25c,k_minus25c,wl_minus7c,k_minus7c,wl_25c_H,k_25c_H,wl_20c,k_20c,wl_25c_S,k_25c_S,Index
666.7,2.47e-8,,,,,660,1.66000E-08,650,1.6400E-08,650,1.8724600E-08,650.12971,1.67413370E-08,0
667.6,2.48e-8,,,,,670,1.89000E-08,675,2.2300E-08,651,1.8908800E-08,654.63616,1.77742030E-08,1
668.4,2.48e-8,,,,,680,2.09000E-08,700,3.3500E-08,652,1.9145400E-08,660.69347,1.93994820E-08,2
669.3,2.52e-8,,,,,690,2.40000E-08,725,9.1500E-08,653,1.9382600E-08,665.27314,2.03137520E-08,3
670.2,2.53e-8,,,,,700,2.90000E-08,750,1.5600E-07,654,1.9724500E-08,669.88461,2.09792590E-08,4
671.1,2.54e-8,,,,,710,3.44000E-08,775,1.4800E-07,655,2.0067400E-08,674.52802,2.17665770E-08,5
672.0,2.55e-8,,,,,720,4.03000E-08,800,1.2500E-07,656,2.0306900E-08,680.76935,2.30033000E-08,6
672.9,2.56e-8,,,,,730,4.30000E-08,825,1.8200E-07,657,2.0808400E-08,685.48821,2.47053010E-08,7
673.9,2.58e-8,,,,,740,4.92000E-08,850,2.9300E-07,658,2.1206600E-08,690.23978,2.65332310E-08,8
674.8,2.61e-8,,,,,750,5.87000E-08,875,3.9100E-07,659,2.1343700E-08,695.02431,2.96339910E-08,9
675.7,2.61e-8,,,,,760,7.08000E-08,900,4.8600E-07,660,2.1796300E-08,699.84198,3.34803620E-08,10
676.6,2.64e-8,,,,,770,8.58000E-08,925,1.0600E-06,661,2.1881900E-08,704.69308,4.10005940E-08,11
677.5,2.64e-8,,,,,780,1.02000E-07,950,2.9300E-06,662,2.2020400E-08,709.57777,4.99792970E-08,12
678.4,2.66e-8,,,,,790,1.18000E-07,975,3.4800E-06,663,2.2370200E-08,714.49634,5.99501320E-08,13
679.3,2.69e-8,,,,,800,1.34000E-07,1000,2.8900E-06,664,2.2615300E-08,719.44899,7.29105110E-08,14
680.3,2.71e-8,,,,,810,1.40000E-07,1200,9.8900E-06,665,2.2596400E-08,724.43594,9.13671640E-08,15
681.2,2.73e-8,,,,,820,1.43000E-07,1400,1.3800E-04,666,2.2577400E-08,729.45749,1.15024440E-07,16
682.1,2.73e-8,,,,,830,1.45000E-07,1600,8.5500E-05,667,2.2664400E-08,734.51386,1.34831120E-07,17
683.1,2.76e-8,,,,,840,1.51000E-07,1800,1.1500E-04,668,2.2911000E-08,739.60525,1.45810950E-07,18
684.0,2.79e-8,,,,,850,1.83000E-07,2000,1.1000E-03,669,2.2945300E-08,744.73195,1.53034780E-07,19
684.9,2.82e-8,,,,,860,2.15000E-07,2200,2.8900E-04,670,2.2979600E-08,749.89423,1.55879910E-07,20
685.9,2.84e-8,,,,,870,2.65000E-07,2400,9.5600E-04,671,2.3013900E-08,755.09225,1.58048410E-07,21
686.8,2.87e-8,,,,,880,3.35000E-07,2600,3.1700E-03,672,2.3155100E-08,760.32630,1.58048410E-07,22
687.8,2.91e-8,,,,,890,3.92000E-07,,,673,2.3296700E-08,765.59660,1.56960420E-07,23
688.7,2.94e-8,,,,,900,4.20000E-07,,,674,2.3224000E-08,769.13043,1.52632810E-07,24
689.7,2.98e-8,,,,,910,4.44000E-07,,,675,2.3419600E-08,774.46178,1.47839380E-07,25
690.6,3.04e-8,,,,,920,4.74000E-07,,,676,2.3723300E-08,779.83010,1.40860800E-07,26
691.6,3.10e-8,,,,,930,5.11000E-07,,,677,2.3812300E-08,785.23562,1.33902950E-07,27
692.5,3.15e-8,,,,,940,5.53000E-07,,,678,2.4063300E-08,790.67866,1.28171110E-07,28
693.5,3.20e-8,,,,,950,6.02000E-07,,,679,2.4152800E-08,794.32824,1.25831720E-07,29
