# wvl	a	b	c	rmse
376.62188000 0.02875491 17.61590160 -0.00000000 0.00000000
381.58817000 0.02491495 13.22515806 -0.00000000 0.00000000
386.55553000 0.02052349 8.97394311 -0.00000000 0.00000000
391.52298000 0.01895638 7.65581315 -0.00000000 0.00000000
396.49251000 0.01673034 5.96334737 0.00000000 0.00000000
401.46312000 0.01534176 5.01454154 -0.00000000 0.00000000
406.43480000 0.01425995 4.33228385 0.00000000 0.00000000
411.40757000 0.01335146 3.79785346 0.00000000 0.00000000
416.38042000 0.01241274 3.28258443 0.00000000 0.00000000
421.35535000 0.01161089 2.87218046 0.00000000 0.00000000
426.33035000 0.01132494 2.73245007 -0.00000000 0.00000000
431.30643000 0.01086072 2.51302971 -0.00000000 0.00000000
436.28459000 0.01040661 2.30727641 -0.00000000 0.00000000
441.26283000 0.01018107 2.20834646 -0.00000000 0.00000000
446.24115000 0.00976548 2.03173808 -0.00000000 0.00000000
451.22154000 0.00965463 1.98587622 0.00000000 0.00000000
456.20301000 0.00953149 1.93554153 0.00000000 0.00000000
461.18455000 0.00944276 1.89967267 0.00000000 0.00000000
466.16717000 0.00930056 1.84288817 0.00000000 0.00000000
471.15087000 0.00932615 1.85304398 -0.00000000 0.00000000
476.13564000 0.00926043 1.82701739 -0.00000000 0.00000000
481.12048000 0.00910062 1.76450573 -0.00000000 0.00000000
486.10640000 0.00900089 1.72604362 0.00000000 0.00000000
491.09239000 0.00889406 1.68531464 0.00000000 0.00000000
496.08046000 0.00875252 1.63210233 0.00000000 0.00000000
501.06859000 0.00865068 1.59434086 0.00000000 0.00000000
506.05680000 0.00849195 1.53637016 -0.00000000 0.00000000
511.04709000 0.00838219 1.49690929 -0.00000000 0.00000000
516.03744000 0.00825730 1.45263716 0.00000000 0.00000000
521.02787000 0.00817137 1.42256009 -0.00000000 0.00000000
526.01936000 0.00811451 1.40283256 0.00000000 0.00000000
531.01193000 0.00802146 1.37084394 -0.00000000 0.00000000
536.00457000 0.00788587 1.32489111 0.00000000 0.00000000
540.99827000 0.00774811 1.27900597 0.00000000 0.00000000
545.99205000 0.00763524 1.24201438 0.00000000 0.00000000
550.98690000 0.00754018 1.21127809 0.00000000 0.00000000
555.98281000 0.00746441 1.18705788 -0.00000000 0.00000000
560.97879000 0.00740344 1.16774451 0.00000000 0.00000000
565.97484000 0.00731556 1.14018531 0.00000000 0.00000000
570.97196000 0.00721729 1.10975978 -0.00000000 0.00000000
575.96915000 0.00714616 1.08799471 -0.00000000 0.00000000
580.96740000 0.00707047 1.06506651 -0.00000000 0.00000000
585.96572000 0.00697212 1.03564355 0.00000000 0.00000000
590.96510000 0.00690044 1.01445781 0.00000000 0.00000000
595.96456000 0.00682941 0.99368262 0.00000000 0.00000000
600.96407000 0.00673085 0.96520741 -0.00000000 0.00000000
605.96465000 0.00667083 0.94807018 0.00000000 0.00000000
610.96530000 0.00661721 0.93288997 0.00000000 0.00000000
615.96701000 0.00655633 0.91580359 0.00000000 0.00000000
620.96878000 0.00647171 0.89231735 -0.00000000 0.00000000
625.97162000 0.00639306 0.87075957 -0.00000000 0.00000000
630.97352000 0.00641090 0.87562482 -0.00000000 0.00000000
635.97648000 0.00647055 0.89199788 -0.00000000 0.00000000
640.98050000 0.00653054 0.90861373 0.00000000 0.00000000
645.98359000 0.00659923 0.92782620 0.00000000 0.00000000
650.98874000 0.00665591 0.94383533 0.00000000 0.00000000
655.99295000 0.00673286 0.96578376 -0.00000000 0.00000000
660.99822000 0.00703160 1.05338916 0.00000000 0.00000000
666.00255000 0.00733621 1.14663203 -0.00000000 0.00000000
671.00894000 0.00703517 1.05445909 -0.00000000 0.00000000
676.01439000 0.00661637 0.93265446 0.00000000 0.00000000
681.02090000 0.00657207 0.92020592 0.00000000 0.00000000
686.02746000 0.00660268 0.92879678 -0.00000000 0.00000000
691.03409000 0.00656164 0.91728643 0.00000000 0.00000000
696.04078000 0.00643015 0.88089227 -0.00000000 0.00000000
701.04852000 0.00629714 0.84482520 -0.00000000 0.00000000
706.05632000 0.00622768 0.82629146 0.00000000 0.00000000
711.06417000 0.00619680 0.81811807 -0.00000000 0.00000000
716.07309000 0.00617580 0.81258086 -0.00000000 0.00000000
721.08106000 0.00616071 0.80861658 0.00000000 0.00000000
726.09008000 0.00615451 0.80698936 -0.00000000 0.00000000
731.09916000 0.00614297 0.80396572 0.00000000 0.00000000
736.10830000 0.00613340 0.80146367 -0.00000000 0.00000000
741.11749000 0.00610497 0.79405124 -0.00000000 0.00000000
746.12674000 0.00607289 0.78572606 -0.00000000 0.00000000
751.13703000 0.00603737 0.77656144 -0.00000000 0.00000000
756.14739000 0.00600713 0.76880315 0.00000000 0.00000000
761.15679000 0.00598003 0.76188121 0.00000000 0.00000000
766.16725000 0.00595222 0.75481068 -0.00000000 0.00000000
771.17876000 0.00592223 0.74722475 -0.00000000 0.00000000
776.18932000 0.00590277 0.74232259 0.00000000 0.00000000
781.19994000 0.00586208 0.73212266 -0.00000000 0.00000000
786.21160000 0.00582480 0.72283990 -0.00000000 0.00000000
791.22232000 0.00576366 0.70774504 0.00000000 0.00000000
796.23409000 0.00571757 0.69647179 -0.00000000 0.00000000
801.24591000 0.00568177 0.68777754 -0.00000000 0.00000000
806.25777000 0.00563201 0.67578333 -0.00000000 0.00000000
811.26969000 0.00558545 0.66465582 -0.00000000 0.00000000
816.28166000 0.00555242 0.65681817 0.00000000 0.00000000
821.29367000 0.00550968 0.64674506 0.00000000 0.00000000
826.30573000 0.00545303 0.63351424 0.00000000 0.00000000
831.31784000 0.00540145 0.62158724 0.00000000 0.00000000
836.33000000 0.00536233 0.61261604 0.00000000 0.00000000
841.34321000 0.00531755 0.60242568 0.00000000 0.00000000
846.35546000 0.00525718 0.58882590 0.00000000 0.00000000
851.36876000 0.00521774 0.58002314 0.00000000 0.00000000
856.38110000 0.00517077 0.56962852 0.00000000 0.00000000
861.39449000 0.00513046 0.56078141 -0.00000000 0.00000000
866.40693000 0.00507271 0.54822746 -0.00000000 0.00000000
871.42041000 0.00501143 0.53506110 0.00000000 0.00000000
876.43393000 0.00497086 0.52643458 0.00000000 0.00000000
881.44650000 0.00494630 0.52124541 0.00000000 0.00000000
886.46011000 0.00490231 0.51201501 -0.00000000 0.00000000
891.47377000 0.00485498 0.50217650 0.00000000 0.00000000
896.48646000 0.00481451 0.49383828 -0.00000000 0.00000000
